,Story,Question,Answer
995,Mary went to the bathroom . John took the milk there .,Is Mary in the hallway ?,no
996,Mary went to the bathroom . John took the milk there . Sandra moved to the office . John dropped the milk .,Is Mary in the bathroom ?,yes
997,Mary went to the bathroom . John took the milk there . Sandra moved to the office . John dropped the milk . Mary went to the office . Daniel journeyed to the bathroom .,Is Sandra in the office ?,yes
998,Mary went to the bathroom . John took the milk there . Sandra moved to the office . John dropped the milk . Mary went to the office . Daniel journeyed to the bathroom . Mary journeyed to the hallway . Sandra went to the bathroom .,Is Mary in the office ?,no
999,Mary went to the bathroom . John took the milk there . Sandra moved to the office . John dropped the milk . Mary went to the office . Daniel journeyed to the bathroom . Mary journeyed to the hallway . Sandra went to the bathroom . Sandra travelled to the kitchen . Daniel picked up the apple there .,Is Sandra in the hallway ?,no
1000,John journeyed to the bedroom . John grabbed the football there .,Is John in the bedroom ?,yes
1001,John journeyed to the bedroom . John grabbed the football there . John put down the football . Daniel went to the hallway .,Is Daniel in the garden ?,no
1002,John journeyed to the bedroom . John grabbed the football there . John put down the football . Daniel went to the hallway . Sandra went to the office . Daniel picked up the apple there .,Is Sandra in the office ?,yes
1003,John journeyed to the bedroom . John grabbed the football there . John put down the football . Daniel went to the hallway . Sandra went to the office . Daniel picked up the apple there . Daniel grabbed the milk there . Daniel dropped the apple there .,Is Sandra in the office ?,yes
1004,John journeyed to the bedroom . John grabbed the football there . John put down the football . Daniel went to the hallway . Sandra went to the office . Daniel picked up the apple there . Daniel grabbed the milk there . Daniel dropped the apple there . Mary moved to the bathroom . Daniel went to the office .,Is Mary in the garden ?,no
1005,Daniel journeyed to the hallway . John picked up the apple there .,Is Daniel in the hallway ?,yes
1006,Daniel journeyed to the hallway . John picked up the apple there . John discarded the apple . Sandra travelled to the bedroom .,Is Sandra in the bedroom ?,yes
1007,Daniel journeyed to the hallway . John picked up the apple there . John discarded the apple . Sandra travelled to the bedroom . Sandra travelled to the garden . John got the apple there .,Is Sandra in the garden ?,yes
1008,Daniel journeyed to the hallway . John picked up the apple there . John discarded the apple . Sandra travelled to the bedroom . Sandra travelled to the garden . John got the apple there . John travelled to the hallway . Daniel moved to the bathroom .,Is Sandra in the garden ?,yes
1009,Daniel journeyed to the hallway . John picked up the apple there . John discarded the apple . Sandra travelled to the bedroom . Sandra travelled to the garden . John got the apple there . John travelled to the hallway . Daniel moved to the bathroom . Mary went to the garden . John journeyed to the bathroom .,Is John in the bedroom ?,no
1010,Sandra grabbed the football there . Sandra left the football . Mary journeyed to the bedroom . Sandra grabbed the football there .,Is Mary in the bedroom ?,yes
1011,Sandra grabbed the football there . Sandra left the football . Mary journeyed to the bedroom . Sandra grabbed the football there . Mary travelled to the office . Daniel took the milk there .,Is Mary in the office ?,yes
1012,Sandra grabbed the football there . Sandra left the football . Mary journeyed to the bedroom . Sandra grabbed the football there . Mary travelled to the office . Daniel took the milk there . Sandra left the football . Daniel dropped the milk .,Is Mary in the office ?,yes
1013,Sandra grabbed the football there . Sandra left the football . Mary journeyed to the bedroom . Sandra grabbed the football there . Mary travelled to the office . Daniel took the milk there . Sandra left the football . Daniel dropped the milk . John went back to the office . Mary went back to the kitchen .,Is Mary in the hallway ?,no
1014,Sandra grabbed the football there . Sandra left the football . Mary journeyed to the bedroom . Sandra grabbed the football there . Mary travelled to the office . Daniel took the milk there . Sandra left the football . Daniel dropped the milk . John went back to the office . Mary went back to the kitchen . Daniel journeyed to the office . Sandra grabbed the football there .,Is John in the bathroom ?,no
1015,Mary picked up the milk there . Daniel picked up the football there . Sandra went to the garden . Mary put down the milk .,Is Sandra in the garden ?,yes
1016,Mary picked up the milk there . Daniel picked up the football there . Sandra went to the garden . Mary put down the milk . Daniel journeyed to the office . Mary grabbed the milk there .,Is Sandra in the kitchen ?,no
1017,Mary picked up the milk there . Daniel picked up the football there . Sandra went to the garden . Mary put down the milk . Daniel journeyed to the office . Mary grabbed the milk there . Daniel put down the football . Mary dropped the milk .,Is Daniel in the office ?,yes
1018,Mary picked up the milk there . Daniel picked up the football there . Sandra went to the garden . Mary put down the milk . Daniel journeyed to the office . Mary grabbed the milk there . Daniel put down the football . Mary dropped the milk . Mary journeyed to the garden . Mary went to the office .,Is Mary in the office ?,yes
1019,Mary picked up the milk there . Daniel picked up the football there . Sandra went to the garden . Mary put down the milk . Daniel journeyed to the office . Mary grabbed the milk there . Daniel put down the football . Mary dropped the milk . Mary journeyed to the garden . Mary went to the office . Sandra moved to the office . Sandra travelled to the garden .,Is Mary in the bedroom ?,no
1020,Mary moved to the office . John journeyed to the bedroom .,Is Mary in the office ?,yes
1021,Mary moved to the office . John journeyed to the bedroom . Mary journeyed to the garden . Mary got the football there .,Is Mary in the bathroom ?,no
1022,Mary moved to the office . John journeyed to the bedroom . Mary journeyed to the garden . Mary got the football there . John went to the hallway . John travelled to the kitchen .,Is John in the kitchen ?,yes
1023,Mary moved to the office . John journeyed to the bedroom . Mary journeyed to the garden . Mary got the football there . John went to the hallway . John travelled to the kitchen . Mary put down the football . Daniel journeyed to the bathroom .,Is Daniel in the hallway ?,no
1024,Mary moved to the office . John journeyed to the bedroom . Mary journeyed to the garden . Mary got the football there . John went to the hallway . John travelled to the kitchen . Mary put down the football . Daniel journeyed to the bathroom . Daniel took the apple there . John went to the hallway .,Is Daniel in the bathroom ?,yes
1025,Sandra journeyed to the bedroom . Daniel travelled to the garden .,Is Sandra in the bathroom ?,no
1026,Sandra journeyed to the bedroom . Daniel travelled to the garden . Mary travelled to the bedroom . Daniel went back to the kitchen .,Is Daniel in the kitchen ?,yes
1027,Sandra journeyed to the bedroom . Daniel travelled to the garden . Mary travelled to the bedroom . Daniel went back to the kitchen . John went back to the hallway . Daniel moved to the bathroom .,Is Daniel in the bedroom ?,no
1028,Sandra journeyed to the bedroom . Daniel travelled to the garden . Mary travelled to the bedroom . Daniel went back to the kitchen . John went back to the hallway . Daniel moved to the bathroom . Daniel went to the garden . John went to the kitchen .,Is Daniel in the hallway ?,no
1029,Sandra journeyed to the bedroom . Daniel travelled to the garden . Mary travelled to the bedroom . Daniel went back to the kitchen . John went back to the hallway . Daniel moved to the bathroom . Daniel went to the garden . John went to the kitchen . Daniel journeyed to the bathroom . Daniel went to the bedroom .,Is Daniel in the hallway ?,no
1030,Daniel picked up the milk there . Daniel dropped the milk . Sandra went back to the bedroom . Sandra got the football there .,Is Sandra in the garden ?,no
1031,Daniel picked up the milk there . Daniel dropped the milk . Sandra went back to the bedroom . Sandra got the football there . John went back to the hallway . John picked up the apple there .,Is John in the hallway ?,yes
1032,Daniel picked up the milk there . Daniel dropped the milk . Sandra went back to the bedroom . Sandra got the football there . John went back to the hallway . John picked up the apple there . Mary moved to the office . Daniel went to the kitchen .,Is John in the office ?,no
1033,Daniel picked up the milk there . Daniel dropped the milk . Sandra went back to the bedroom . Sandra got the football there . John went back to the hallway . John picked up the apple there . Mary moved to the office . Daniel went to the kitchen . Sandra left the football . John discarded the apple .,Is Daniel in the kitchen ?,yes
1034,Daniel picked up the milk there . Daniel dropped the milk . Sandra went back to the bedroom . Sandra got the football there . John went back to the hallway . John picked up the apple there . Mary moved to the office . Daniel went to the kitchen . Sandra left the football . John discarded the apple . Sandra journeyed to the garden . Sandra travelled to the kitchen .,Is Sandra in the office ?,no
1035,Daniel took the milk there . Daniel travelled to the office .,Is Daniel in the garden ?,no
1036,Daniel took the milk there . Daniel travelled to the office . Mary went back to the bedroom . Mary journeyed to the hallway .,Is Mary in the hallway ?,yes
1037,Daniel took the milk there . Daniel travelled to the office . Mary went back to the bedroom . Mary journeyed to the hallway . John went back to the kitchen . Mary journeyed to the garden .,Is Mary in the garden ?,yes
1038,Daniel took the milk there . Daniel travelled to the office . Mary went back to the bedroom . Mary journeyed to the hallway . John went back to the kitchen . Mary journeyed to the garden . Daniel journeyed to the garden . Mary went to the bathroom .,Is John in the office ?,no
1039,Daniel took the milk there . Daniel travelled to the office . Mary went back to the bedroom . Mary journeyed to the hallway . John went back to the kitchen . Mary journeyed to the garden . Daniel journeyed to the garden . Mary went to the bathroom . John travelled to the bedroom . Mary travelled to the bedroom .,Is John in the bedroom ?,yes
1040,Sandra went to the garden . Daniel went back to the bedroom .,Is Sandra in the garden ?,yes
1041,Sandra went to the garden . Daniel went back to the bedroom . Daniel got the apple there . Sandra journeyed to the bathroom .,Is Sandra in the bathroom ?,yes
1042,Sandra went to the garden . Daniel went back to the bedroom . Daniel got the apple there . Sandra journeyed to the bathroom . Daniel dropped the apple . Mary went back to the kitchen .,Is Daniel in the bedroom ?,yes
1043,Sandra went to the garden . Daniel went back to the bedroom . Daniel got the apple there . Sandra journeyed to the bathroom . Daniel dropped the apple . Mary went back to the kitchen . Daniel moved to the kitchen . Mary moved to the office .,Is Mary in the bedroom ?,no
1044,Sandra went to the garden . Daniel went back to the bedroom . Daniel got the apple there . Sandra journeyed to the bathroom . Daniel dropped the apple . Mary went back to the kitchen . Daniel moved to the kitchen . Mary moved to the office . John travelled to the bedroom . Sandra took the milk there .,Is Mary in the office ?,yes
1045,Sandra went back to the garden . Daniel journeyed to the office .,Is Sandra in the garden ?,yes
1046,Sandra went back to the garden . Daniel journeyed to the office . Daniel went to the garden . Mary moved to the hallway .,Is Mary in the kitchen ?,no
1047,Sandra went back to the garden . Daniel journeyed to the office . Daniel went to the garden . Mary moved to the hallway . John travelled to the bedroom . Mary travelled to the kitchen .,Is John in the bedroom ?,yes
1048,Sandra went back to the garden . Daniel journeyed to the office . Daniel went to the garden . Mary moved to the hallway . John travelled to the bedroom . Mary travelled to the kitchen . Daniel journeyed to the bedroom . Mary travelled to the office .,Is Mary in the garden ?,no
1049,Sandra went back to the garden . Daniel journeyed to the office . Daniel went to the garden . Mary moved to the hallway . John travelled to the bedroom . Mary travelled to the kitchen . Daniel journeyed to the bedroom . Mary travelled to the office . Daniel journeyed to the bathroom . Sandra travelled to the office .,Is Sandra in the office ?,yes
1050,John got the milk there . Mary went back to the bathroom .,Is Mary in the bathroom ?,yes
1051,John got the milk there . Mary went back to the bathroom . Daniel went to the bathroom . Mary went back to the hallway .,Is Daniel in the bathroom ?,yes
1052,John got the milk there . Mary went back to the bathroom . Daniel went to the bathroom . Mary went back to the hallway . John travelled to the bathroom . John dropped the milk .,Is Mary in the office ?,no
1053,John got the milk there . Mary went back to the bathroom . Daniel went to the bathroom . Mary went back to the hallway . John travelled to the bathroom . John dropped the milk . Mary went back to the bedroom . Daniel picked up the milk there .,Is John in the bathroom ?,yes
1054,John got the milk there . Mary went back to the bathroom . Daniel went to the bathroom . Mary went back to the hallway . John travelled to the bathroom . John dropped the milk . Mary went back to the bedroom . Daniel picked up the milk there . Daniel moved to the garden . Sandra moved to the hallway .,Is Daniel in the office ?,no
1055,Daniel journeyed to the garden . Mary moved to the office .,Is Daniel in the bathroom ?,no
1056,Daniel journeyed to the garden . Mary moved to the office . Mary got the football there . Sandra went to the office .,Is Mary in the garden ?,no
1057,Daniel journeyed to the garden . Mary moved to the office . Mary got the football there . Sandra went to the office . Mary went to the garden . Mary got the milk there .,Is Mary in the hallway ?,no
1058,Daniel journeyed to the garden . Mary moved to the office . Mary got the football there . Sandra went to the office . Mary went to the garden . Mary got the milk there . Mary left the milk there . John travelled to the bathroom .,Is John in the hallway ?,no
1059,Daniel journeyed to the garden . Mary moved to the office . Mary got the football there . Sandra went to the office . Mary went to the garden . Mary got the milk there . Mary left the milk there . John travelled to the bathroom . Sandra picked up the apple there . Daniel went to the bedroom .,Is John in the bathroom ?,yes
1060,Sandra moved to the kitchen . Sandra moved to the bedroom .,Is Sandra in the bedroom ?,yes
1061,Sandra moved to the kitchen . Sandra moved to the bedroom . John journeyed to the hallway . Sandra took the football there .,Is John in the hallway ?,yes
1062,Sandra moved to the kitchen . Sandra moved to the bedroom . John journeyed to the hallway . Sandra took the football there . John travelled to the garden . Daniel moved to the bathroom .,Is John in the kitchen ?,no
1063,Sandra moved to the kitchen . Sandra moved to the bedroom . John journeyed to the hallway . Sandra took the football there . John travelled to the garden . Daniel moved to the bathroom . Daniel moved to the office . Sandra moved to the garden .,Is Daniel in the office ?,yes
1064,Sandra moved to the kitchen . Sandra moved to the bedroom . John journeyed to the hallway . Sandra took the football there . John travelled to the garden . Daniel moved to the bathroom . Daniel moved to the office . Sandra moved to the garden . Mary moved to the kitchen . Daniel went back to the garden .,Is Sandra in the garden ?,yes
1065,Mary went to the bathroom . Sandra moved to the garden .,Is Sandra in the garden ?,yes
1066,Mary went to the bathroom . Sandra moved to the garden . Sandra picked up the apple there . Mary travelled to the office .,Is Mary in the hallway ?,no
1067,Mary went to the bathroom . Sandra moved to the garden . Sandra picked up the apple there . Mary travelled to the office . Mary picked up the milk there . Sandra moved to the office .,Is Mary in the bathroom ?,no
1068,Mary went to the bathroom . Sandra moved to the garden . Sandra picked up the apple there . Mary travelled to the office . Mary picked up the milk there . Sandra moved to the office . Mary discarded the milk . John went back to the bathroom .,Is Sandra in the bedroom ?,no
1069,Mary went to the bathroom . Sandra moved to the garden . Sandra picked up the apple there . Mary travelled to the office . Mary picked up the milk there . Sandra moved to the office . Mary discarded the milk . John went back to the bathroom . Sandra took the milk there . John went back to the kitchen .,Is Sandra in the hallway ?,no
1070,John took the football there . Mary grabbed the milk there . Sandra journeyed to the bedroom . Mary left the milk .,Is Sandra in the hallway ?,no
1071,John took the football there . Mary grabbed the milk there . Sandra journeyed to the bedroom . Mary left the milk . Sandra got the apple there . John moved to the garden .,Is John in the garden ?,yes
1072,John took the football there . Mary grabbed the milk there . Sandra journeyed to the bedroom . Mary left the milk . Sandra got the apple there . John moved to the garden . John dropped the football . Mary got the football there .,Is John in the garden ?,yes
1073,John took the football there . Mary grabbed the milk there . Sandra journeyed to the bedroom . Mary left the milk . Sandra got the apple there . John moved to the garden . John dropped the football . Mary got the football there . John got the milk there . John went back to the hallway .,Is John in the hallway ?,yes
1074,John took the football there . Mary grabbed the milk there . Sandra journeyed to the bedroom . Mary left the milk . Sandra got the apple there . John moved to the garden . John dropped the football . Mary got the football there . John got the milk there . John went back to the hallway . John went back to the bathroom . John put down the milk .,Is John in the kitchen ?,no
1075,John moved to the bedroom . John got the apple there .,Is John in the bedroom ?,yes
1076,John moved to the bedroom . John got the apple there . John took the milk there . John left the apple .,Is John in the bedroom ?,yes
1077,John moved to the bedroom . John got the apple there . John took the milk there . John left the apple . John dropped the milk . Sandra went to the garden .,Is Sandra in the kitchen ?,no
1078,John moved to the bedroom . John got the apple there . John took the milk there . John left the apple . John dropped the milk . Sandra went to the garden . John journeyed to the garden . Sandra grabbed the football there .,Is John in the bedroom ?,no
1079,John moved to the bedroom . John got the apple there . John took the milk there . John left the apple . John dropped the milk . Sandra went to the garden . John journeyed to the garden . Sandra grabbed the football there . John travelled to the hallway . Sandra travelled to the kitchen .,Is John in the hallway ?,yes
1080,Daniel went to the hallway . Mary travelled to the hallway .,Is Mary in the garden ?,no
1081,Daniel went to the hallway . Mary travelled to the hallway . Daniel travelled to the kitchen . Daniel journeyed to the bedroom .,Is Daniel in the bedroom ?,yes
1082,Daniel went to the hallway . Mary travelled to the hallway . Daniel travelled to the kitchen . Daniel journeyed to the bedroom . Sandra travelled to the bedroom . Mary got the milk there .,Is Daniel in the hallway ?,no
1083,Daniel went to the hallway . Mary travelled to the hallway . Daniel travelled to the kitchen . Daniel journeyed to the bedroom . Sandra travelled to the bedroom . Mary got the milk there . John went back to the hallway . Mary dropped the milk there .,Is Daniel in the hallway ?,no
1084,Daniel went to the hallway . Mary travelled to the hallway . Daniel travelled to the kitchen . Daniel journeyed to the bedroom . Sandra travelled to the bedroom . Mary got the milk there . John went back to the hallway . Mary dropped the milk there . Daniel went back to the garden . John grabbed the milk there .,Is Daniel in the garden ?,yes
1085,John got the football there . Daniel went to the office .,Is Daniel in the office ?,yes
1086,John got the football there . Daniel went to the office . John went to the garden . Daniel went back to the kitchen .,Is Daniel in the garden ?,no
1087,John got the football there . Daniel went to the office . John went to the garden . Daniel went back to the kitchen . Daniel travelled to the bathroom . John went to the office .,Is Daniel in the bathroom ?,yes
1088,John got the football there . Daniel went to the office . John went to the garden . Daniel went back to the kitchen . Daniel travelled to the bathroom . John went to the office . Daniel went to the hallway . John discarded the football .,Is Daniel in the bathroom ?,no
1089,John got the football there . Daniel went to the office . John went to the garden . Daniel went back to the kitchen . Daniel travelled to the bathroom . John went to the office . Daniel went to the hallway . John discarded the football . Sandra went back to the garden . Daniel moved to the kitchen .,Is Sandra in the kitchen ?,no
1090,Sandra took the milk there . John journeyed to the kitchen .,Is John in the kitchen ?,yes
1091,Sandra took the milk there . John journeyed to the kitchen . Sandra discarded the milk . Sandra took the milk there .,Is John in the garden ?,no
1092,Sandra took the milk there . John journeyed to the kitchen . Sandra discarded the milk . Sandra took the milk there . John went back to the bathroom . John moved to the hallway .,Is John in the office ?,no
1093,Sandra took the milk there . John journeyed to the kitchen . Sandra discarded the milk . Sandra took the milk there . John went back to the bathroom . John moved to the hallway . John went back to the office . Mary travelled to the hallway .,Is John in the office ?,yes
1094,Sandra took the milk there . John journeyed to the kitchen . Sandra discarded the milk . Sandra took the milk there . John went back to the bathroom . John moved to the hallway . John went back to the office . Mary travelled to the hallway . John travelled to the bedroom . Sandra went to the bedroom .,Is John in the hallway ?,no
1095,Mary went back to the garden . Sandra journeyed to the bedroom .,Is Sandra in the bedroom ?,yes
1096,Mary went back to the garden . Sandra journeyed to the bedroom . Mary journeyed to the kitchen . Sandra journeyed to the garden .,Is Mary in the kitchen ?,yes
1097,Mary went back to the garden . Sandra journeyed to the bedroom . Mary journeyed to the kitchen . Sandra journeyed to the garden . Mary went back to the garden . Daniel travelled to the hallway .,Is Sandra in the garden ?,yes
1098,Mary went back to the garden . Sandra journeyed to the bedroom . Mary journeyed to the kitchen . Sandra journeyed to the garden . Mary went back to the garden . Daniel travelled to the hallway . Daniel got the football there . Mary travelled to the bedroom .,Is Daniel in the hallway ?,yes
1099,Mary went back to the garden . Sandra journeyed to the bedroom . Mary journeyed to the kitchen . Sandra journeyed to the garden . Mary went back to the garden . Daniel travelled to the hallway . Daniel got the football there . Mary travelled to the bedroom . Daniel put down the football . Mary journeyed to the hallway .,Is Mary in the garden ?,no
1100,Daniel travelled to the bathroom . Mary picked up the milk there .,Is Daniel in the hallway ?,no
1101,Daniel travelled to the bathroom . Mary picked up the milk there . Mary discarded the milk there . John moved to the bedroom .,Is John in the bedroom ?,yes
1102,Daniel travelled to the bathroom . Mary picked up the milk there . Mary discarded the milk there . John moved to the bedroom . Mary picked up the milk there . Sandra went to the garden .,Is John in the bathroom ?,no
1103,Daniel travelled to the bathroom . Mary picked up the milk there . Mary discarded the milk there . John moved to the bedroom . Mary picked up the milk there . Sandra went to the garden . Sandra moved to the kitchen . Sandra went back to the garden .,Is Sandra in the bedroom ?,no
1104,Daniel travelled to the bathroom . Mary picked up the milk there . Mary discarded the milk there . John moved to the bedroom . Mary picked up the milk there . Sandra went to the garden . Sandra moved to the kitchen . Sandra went back to the garden . Mary went to the hallway . Mary went to the kitchen .,Is Mary in the kitchen ?,yes
1105,Sandra journeyed to the bedroom . Mary moved to the office .,Is Sandra in the office ?,no
1106,Sandra journeyed to the bedroom . Mary moved to the office . John travelled to the kitchen . Sandra journeyed to the hallway .,Is Sandra in the hallway ?,yes
1107,Sandra journeyed to the bedroom . Mary moved to the office . John travelled to the kitchen . Sandra journeyed to the hallway . Daniel journeyed to the bathroom . Daniel got the apple there .,Is Sandra in the kitchen ?,no
1108,Sandra journeyed to the bedroom . Mary moved to the office . John travelled to the kitchen . Sandra journeyed to the hallway . Daniel journeyed to the bathroom . Daniel got the apple there . Sandra grabbed the milk there . John grabbed the football there .,Is Sandra in the kitchen ?,no
1109,Sandra journeyed to the bedroom . Mary moved to the office . John travelled to the kitchen . Sandra journeyed to the hallway . Daniel journeyed to the bathroom . Daniel got the apple there . Sandra grabbed the milk there . John grabbed the football there . Daniel discarded the apple . Sandra moved to the office .,Is Sandra in the hallway ?,no
1110,John travelled to the hallway . Sandra went back to the bedroom .,Is Sandra in the bedroom ?,yes
1111,John travelled to the hallway . Sandra went back to the bedroom . Daniel went back to the bedroom . Mary went back to the garden .,Is Sandra in the bedroom ?,yes
1112,John travelled to the hallway . Sandra went back to the bedroom . Daniel went back to the bedroom . Mary went back to the garden . John grabbed the football there . Daniel got the milk there .,Is Daniel in the bedroom ?,yes
1113,John travelled to the hallway . Sandra went back to the bedroom . Daniel went back to the bedroom . Mary went back to the garden . John grabbed the football there . Daniel got the milk there . John moved to the office . Daniel discarded the milk .,Is Mary in the bedroom ?,no
1114,John travelled to the hallway . Sandra went back to the bedroom . Daniel went back to the bedroom . Mary went back to the garden . John grabbed the football there . Daniel got the milk there . John moved to the office . Daniel discarded the milk . Daniel picked up the milk there . Daniel put down the milk there .,Is John in the hallway ?,no
1115,Sandra moved to the garden . Daniel journeyed to the kitchen .,Is Daniel in the hallway ?,no
1116,Sandra moved to the garden . Daniel journeyed to the kitchen . John travelled to the office . Sandra went back to the bedroom .,Is Daniel in the bedroom ?,no
1117,Sandra moved to the garden . Daniel journeyed to the kitchen . John travelled to the office . Sandra went back to the bedroom . Mary travelled to the office . Sandra grabbed the football there .,Is Daniel in the kitchen ?,yes
1118,Sandra moved to the garden . Daniel journeyed to the kitchen . John travelled to the office . Sandra went back to the bedroom . Mary travelled to the office . Sandra grabbed the football there . Sandra dropped the football . Daniel journeyed to the hallway .,Is Mary in the bedroom ?,no
1119,Sandra moved to the garden . Daniel journeyed to the kitchen . John travelled to the office . Sandra went back to the bedroom . Mary travelled to the office . Sandra grabbed the football there . Sandra dropped the football . Daniel journeyed to the hallway . Daniel grabbed the milk there . Mary journeyed to the bedroom .,Is Daniel in the bathroom ?,no
1120,Sandra went back to the bedroom . Sandra got the milk there .,Is Sandra in the bedroom ?,yes
1121,Sandra went back to the bedroom . Sandra got the milk there . John got the apple there . John journeyed to the office .,Is Sandra in the bedroom ?,yes
1122,Sandra went back to the bedroom . Sandra got the milk there . John got the apple there . John journeyed to the office . Sandra travelled to the office . Sandra moved to the bathroom .,Is Sandra in the bathroom ?,yes
1123,Sandra went back to the bedroom . Sandra got the milk there . John got the apple there . John journeyed to the office . Sandra travelled to the office . Sandra moved to the bathroom . John journeyed to the garden . Mary travelled to the office .,Is Mary in the office ?,yes
1124,Sandra went back to the bedroom . Sandra got the milk there . John got the apple there . John journeyed to the office . Sandra travelled to the office . Sandra moved to the bathroom . John journeyed to the garden . Mary travelled to the office . John moved to the hallway . Sandra discarded the milk .,Is John in the hallway ?,yes
1125,Sandra took the football there . John took the milk there . Mary went to the bathroom . John went back to the kitchen .,Is Mary in the hallway ?,no
1126,Sandra took the football there . John took the milk there . Mary went to the bathroom . John went back to the kitchen . Daniel went to the bathroom . Mary went back to the bedroom .,Is John in the kitchen ?,yes
1127,Sandra took the football there . John took the milk there . Mary went to the bathroom . John went back to the kitchen . Daniel went to the bathroom . Mary went back to the bedroom . John travelled to the hallway . John put down the milk .,Is John in the hallway ?,yes
1128,Sandra took the football there . John took the milk there . Mary went to the bathroom . John went back to the kitchen . Daniel went to the bathroom . Mary went back to the bedroom . John travelled to the hallway . John put down the milk . John went to the office . Mary journeyed to the hallway .,Is John in the office ?,yes
1129,Sandra took the football there . John took the milk there . Mary went to the bathroom . John went back to the kitchen . Daniel went to the bathroom . Mary went back to the bedroom . John travelled to the hallway . John put down the milk . John went to the office . Mary journeyed to the hallway . John went back to the garden . Sandra journeyed to the hallway .,Is John in the garden ?,yes
1130,John got the football there . Mary went back to the kitchen .,Is Mary in the kitchen ?,yes
1131,John got the football there . Mary went back to the kitchen . John discarded the football . Daniel went back to the garden .,Is Mary in the kitchen ?,yes
1132,John got the football there . Mary went back to the kitchen . John discarded the football . Daniel went back to the garden . John travelled to the kitchen . Sandra went back to the hallway .,Is Daniel in the office ?,no
1133,John got the football there . Mary went back to the kitchen . John discarded the football . Daniel went back to the garden . John travelled to the kitchen . Sandra went back to the hallway . Daniel went back to the bedroom . Daniel got the football there .,Is Daniel in the bedroom ?,yes
1134,John got the football there . Mary went back to the kitchen . John discarded the football . Daniel went back to the garden . John travelled to the kitchen . Sandra went back to the hallway . Daniel went back to the bedroom . Daniel got the football there . Sandra moved to the garden . Daniel journeyed to the kitchen .,Is Sandra in the garden ?,yes
1135,Sandra went back to the garden . Mary moved to the kitchen .,Is Mary in the office ?,no
1136,Sandra went back to the garden . Mary moved to the kitchen . Mary journeyed to the bathroom . John moved to the hallway .,Is Mary in the kitchen ?,no
1137,Sandra went back to the garden . Mary moved to the kitchen . Mary journeyed to the bathroom . John moved to the hallway . Sandra went to the office . John went back to the garden .,Is Mary in the bathroom ?,yes
1138,Sandra went back to the garden . Mary moved to the kitchen . Mary journeyed to the bathroom . John moved to the hallway . Sandra went to the office . John went back to the garden . Mary journeyed to the office . Mary took the football there .,Is John in the garden ?,yes
1139,Sandra went back to the garden . Mary moved to the kitchen . Mary journeyed to the bathroom . John moved to the hallway . Sandra went to the office . John went back to the garden . Mary journeyed to the office . Mary took the football there . Mary travelled to the bedroom . John journeyed to the office .,Is Mary in the bathroom ?,no
1140,Daniel went back to the office . John moved to the hallway .,Is John in the kitchen ?,no
1141,Daniel went back to the office . John moved to the hallway . Sandra grabbed the apple there . Daniel went back to the garden .,Is John in the garden ?,no
1142,Daniel went back to the office . John moved to the hallway . Sandra grabbed the apple there . Daniel went back to the garden . Daniel went back to the office . Mary moved to the bedroom .,Is John in the kitchen ?,no
1143,Daniel went back to the office . John moved to the hallway . Sandra grabbed the apple there . Daniel went back to the garden . Daniel went back to the office . Mary moved to the bedroom . Sandra left the apple . Sandra grabbed the apple there .,Is Daniel in the kitchen ?,no
1144,Daniel went back to the office . John moved to the hallway . Sandra grabbed the apple there . Daniel went back to the garden . Daniel went back to the office . Mary moved to the bedroom . Sandra left the apple . Sandra grabbed the apple there . Sandra travelled to the kitchen . Mary travelled to the office .,Is Mary in the office ?,yes
1145,John journeyed to the bathroom . Sandra moved to the bathroom .,Is Sandra in the bathroom ?,yes
1146,John journeyed to the bathroom . Sandra moved to the bathroom . Sandra journeyed to the hallway . John picked up the milk there .,Is Sandra in the bedroom ?,no
1147,John journeyed to the bathroom . Sandra moved to the bathroom . Sandra journeyed to the hallway . John picked up the milk there . Daniel got the football there . John put down the milk .,Is Sandra in the garden ?,no
1148,John journeyed to the bathroom . Sandra moved to the bathroom . Sandra journeyed to the hallway . John picked up the milk there . Daniel got the football there . John put down the milk . John travelled to the kitchen . Mary travelled to the kitchen .,Is Mary in the kitchen ?,yes
1149,John journeyed to the bathroom . Sandra moved to the bathroom . Sandra journeyed to the hallway . John picked up the milk there . Daniel got the football there . John put down the milk . John travelled to the kitchen . Mary travelled to the kitchen . Daniel journeyed to the bathroom . Daniel put down the football .,Is John in the hallway ?,no
1150,John journeyed to the office . Sandra took the football there .,Is John in the office ?,yes
1151,John journeyed to the office . Sandra took the football there . Sandra took the milk there . Sandra moved to the bedroom .,Is Sandra in the office ?,no
1152,John journeyed to the office . Sandra took the football there . Sandra took the milk there . Sandra moved to the bedroom . Sandra dropped the milk . Daniel went back to the garden .,Is Sandra in the hallway ?,no
1153,John journeyed to the office . Sandra took the football there . Sandra took the milk there . Sandra moved to the bedroom . Sandra dropped the milk . Daniel went back to the garden . Sandra dropped the football . Sandra went to the office .,Is Sandra in the kitchen ?,no
1154,John journeyed to the office . Sandra took the football there . Sandra took the milk there . Sandra moved to the bedroom . Sandra dropped the milk . Daniel went back to the garden . Sandra dropped the football . Sandra went to the office . Daniel travelled to the office . John moved to the bathroom .,Is Sandra in the office ?,yes
1155,John went to the office . Sandra picked up the apple there .,Is John in the hallway ?,no
