Question,Answer
Can I load it off of windows and then use a mac later on?,"Oh, I'd hoped I could do the same thing, to have it do double duty. However, it is formatted for WinPC. If you want to use it on MacPC you'd need to reformat it for that purpose. And frustratingly, it won't talk to both systems. Grrrrr."
Will it work with kodi on a raspberry pi? i'd like to use this as a media drive. my main concern is that the rpi can power it.,Use an external power supply
Will this work with Windows 7?,"Yes, I use them for back up and expanded storage. But I am no computer expert:)"
Can this device be used for home cloud service?,"Yes, if your computer is the gateway."
Can i save games on here for laptop gaming?,"Hi, If your computer have USB 3.0 the speed is good for receive and transfer information. In the game context the recommendation is internal SSD drives for your speed (10x above conventional disks)."
Can i download pictures from my phone to the drive,"Yes, however you may have to first save the pictures to your computer before backing them up on this drive."
Is this drive compatible with an Nvidia Shield tv ?,Awesome
"I'm sure this has been asked & answered, but just to be sure, i can use this hd to recover windows10 if i need to, right? thanks",You can use this hd. But you must follow Microsoft's instruction to prepare the hd for recovery system
Where its made in ?,Product of Malaysia on back of portable hard drive.
will it work with windows 10,"Mine has been backing up my Win10 p.c. since I bought it. No issues, zero. Trusted name in HDDs, can't go wrong."
"Tried to reformat for mac, but keep getting ""erase process failed"" ""couldn't unmount disk"" ""operation failed"" what am i doing wrong?",I have come across this problem occasionally but usually only on the first attempt. Seems to be a bug in Disk Utility.
does any ones knows a ball park figure on how many songs this is capabile of storing?,"200,000 songs or 17,000 hrs which ever comes first"
Why does the description say it \x93requires a lithium battery\x94? For what purpose?,I have no clue. I use mine as it came. I just plug it into my computer and the light turns on and I have access to my files. Maybe it means that it needs a battery to stay on? Because when it's not connected it is off.
"What is the difference between this model and the wd 2tb my passport portable external hard drive, black - wdbyvg0020bbk-wesn?",I have no idea but I cannot recommend this hard drive as mine quit working after just 8 months. Had over 8000 Family photos and videos. Somehow my son opened it up and got it to work but Im in the process of moving it all once again.
Does it work with dish wally?,I read that external hard drives must derive power from a power supply to be compatible with the Wally. This unit is USB-powered only.
Can I use it on ps4,A few reviews say yes.
"Hello i have to contact the manufacturer because I'm waiting for a refund of this item, can you help me?",No. I can't
is this drive compatable with an iphone and will it hold a few series of Supernaturals?? my son deployed on a ship and is asking for this,"You would have to upload all the songs he desires, plus tons of videos as well. I'm not sure you can connect this to an actual IPHONE, but to a LAPTOP not a problem, your son can connect to ITUNES or a transfer program and get the songs that way..."
Is this compatible with XP and Vista?,XP requires a reformat into seveal 2GB NTFS partitions. Vista will read the GPT partition table as one partition
solid state drive?,No it's not solid state
Can i backup files from both pc and mac without partitioning nor reformatting the hard drive?,how you reformatt the hard drive ? . Thanks
best portable hard drive?,No worst drive ever!!
Work with Samsung Galaxy 10+,"It works with windows. I dont know about other systems. Its just hardware, does the galaxy have a USB-3 port?"
Will the 4tb variant of this hard drive work on the base/regular ps4?,Yes
Anyone using this with mac os 10.11 el capitan?,"I've used mine both with macOS and then with Windows 10. The Elements hard drive comes out of the box formatted for Windows, but you can use Disk Utility to reformat it as HFS. You'll need to do that for at least Time Machine. I had to jump through some hoops to get back to using it with the Windows NTFS format. I had"
Does woek on ps4?,I'm not familiar with ps4. The product is a simple external drive that I use for storage.
Does it work with PS4 console?,Yes
will a usb 2.0 work? I only have old computers that have 2.0 usb ports.,"Sure, USB 3 works on USB 2... You can use all devices USB 3 (disk, Flash drive,...) on an ""old"" computer with USB 2 ports only."
Does this work with Windows and Mac computers?,"That's dumb question,oh it does. For real work on PC,Mac,PS4,Xbox One."
Will this work for a modded Wii?,"I always wonder why people reply to just say they aren't sure, as they are just pointless posts. *sigh*"
ps4 compatable?,"Hello friend, How are you?"
Does the portable version work with an Xbox?,"If the Xbox has a USB port, it should work."
what is the RPM?,irelavent to this prodoct
"Hi, does it work for any Mac?",Yes it had to be formated ExFAT though
I would like to stream files wirelessly to my kindle while traveling. Does this device allow this?,"No, this is just a storage device. With an adapter, you could possibly connect this to your kindle for additional storage."
This is a solid state hard drive correct? No moving parts? I've had other regular external hard drives fail on me.,No I have listened to mine run an can hear the disk turn.
"Can this work with ps4? i am planning on getting an external hard drive for both my pc and ps4, so if this can work for both i'll just get 2 of these.","yes it does work with ps4 and xbox one,It will format to whatever system you are using."
Does this work with Chromebooks?,It works with any computer with a usb port.
is this product an SSD?,No. This is a magnetic disk. It works very well but it is not static.
Can i connectthis to my router and use as a cloud back up for all my devices?,"Excellent day Julio I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know if you can connect the device into your router and then use it as cloud storage for your devices, I will be glad to provide you the needed information."
Is this compatible with Dish Wally?,No
Will this work with xbox one x,I do not know anything about an xbox.
I upgraded to Mojave on my mac and now it won't recognize my drive. Is there anyway to retrieve all my files?,Don't know about mac. But on windows you might have to go into computer management and assign a drive letter to the disk. If the drive had files it sounds like a question that is mac related not drive related. Suggest you Google the question as you asked it here.
Can it works with a Xiaomi tv box s or amazon stick?,I don't think so ...sorry
Does anyone have Crystal disk information on the 5 terabyte version?,does. Know
If i use this to back up my windows 7 (in order to upgrade to windows 10) will i also be able to access the files on my galaxy tab s6?,I am not completely sure however i do have some old files and have not had any trouble accessing the files
Is this compatible with Amazon recast in tv?,??
Can you connect it to camera?,"No, the memory from the camera no suport"
"I don't have a usb 3.0. will this work with usb 2.0? i realize it will be slower, but will it work?",Look at specs online.
Does this work on Apple?,Yes. It works well on my mac.
can I connect to a cable box?,I not sure about that but it uses a usb cord so if your cable box has a usb spot it should. I use it with my X-box one s and it works great easy set up.
"What is it's native format protocol? I.e., is it Fat32?",No- NTFS ( or if you have a Mac- you can use eFat.) Fat32 is not recommended.
How loud is this unit? I will have it nearby my laptop watching movies on it.,"No noise at all. There is a blinking light to indicate activity. Its amazing that so much storage can be so small, and fast. I love it. Enjoy."
Is it compatible with windows 10?,"Yes it is...the system Im backing up with it is a Windows 10 PC. It was ready to go out of the box. I did format it, just to be sure...but it works great."
Will this work on a hp laptop?,As long as your laptop supports the USB data interface which most modern laptops do.
What is the Transfer rate for the 4tb?,"I don't know the technical side, sorry."
Will this work with a hopper or joey by dish,"I wouldn't know, but if they can use a hard drive I'd imagine it would. You need to check that stuff with the manufacturer of your equipment."
Does it work with PS4?,I'm not familiar with PS4.
I need something like this to keep my pictures on from my computer. Is this the best choice if I'm buying this just for pictures? Not so much a x box?,"This is a hard drive, the same as the one on your computer. You can copy and paste any kind of file from your computer to this drive with no problem. I have two of them for videos and pictures and music. The drive connects by just plugging in a single USB cable. Works perfectly."
Does this work with windows vista operating system ?,"Windows Vista comes in a 32bit and 64 bit versions., however, natively it can only read up to 2 terabytes of drive space unless the motherboard supports extended driver space. I don't think you will find the drivers needed to read beyond 2tb, however, it may be possible - See this link for more detail: https://www.seag see more"
Does it work with usb c?,No... the usb connection on mine is damaged and the 7nit stopped working within a month. Trying to get WD to exchange it ir refund the money. Not real happy!
Is this the same type used in dvr?,"Hello friend, How are you?"
I am still unable to get this device to work. Plug and play does not work and adding devices does not work. Any suggestions? Ty,"The only issue I had at first is the plug-in into the drive fit really snug. I thought I had it plugged in all the way but after double checking, it wasn't fully in. After that, it worked great for me. Forgive me if I sound like I'm over simplifying the problem."
Will the auto backup software backup other external hard drives?,"I downloaded WD Backup from the Western Digital website. I haven't tried to backup other external hard drives, but as long as the backup software can see the drive & there's plenty of space available I don't see any reason why it wouldn't."
Will this drive work with my tv box in timeshift mode to pause live tv and record?,unknown
Will the 1tb version work with Xbox,"I don't know about Xbox, but it would not work on my windows 7 computer, but only on my Windows 10 computer."
"It sounds like the usb 3 cable that comes with this hd isn't good. if i want to get a good usb3 cable, what type of usb 3 cable should i get?",There is nothing wrong with the cable. People just insist on moving drives around while in use. This is a very bad idea. The cable is USB 3.0-A to Micro-B
I need a drive to stay plugged into my router 24/7 so it's network accessible - should I get a portable or desktop drive?,Desktop. Just my opinion. I use portables as portables and desktops as permanently connected drives.
Iam not a computer expert but can i hook it up to my cell phone and just transfer all my pics on it?,"WD Drive cable is USB. I hooked it up with female USB adapter to my android phone, and the phone wanted to format the drive. This would delete everything on WD drive. OK if only using drive for phone. I transfer to PC & then to drive."
can i connect this to a samsung galaxy tab a ?,"I think Galaxy Tabs use Google drive to do backups. You would need to back it up to a computer and then, to the WD drive"
can you plug it into a server with sbs 2008? and use it as backup?,"I'm not familiar with that particular operation system. There may be restrictions in it regarding permissible numbers/types of devices that can be attached the server (though this seems unlikely). My guess is that so long as the WD 2TB Elements' driver is recognized & installed by this OS, there would be no barrier to"
"Is this a smr, cmr, or pmr drive? i have a feeling it's a smr drive since wd purposely doesn't mention this in the specs.","Sorry, I don't know that answer."
Work with A1398?,Dont know what that is.
can i share files between mac and pc?,"I am no expert, but I went to an Apple store considering buying my a MacBook.. asked about this hard drive in particular, they said I could convert the drive to use with Apple, but it seemed to be one or other, pc or Mac, not interchange. Some hard drives could be partitioned to use part on Mac and PC I was told.. ho see more"
"I partitioned mac for windows 10 and mac os, both. can i use this hard drive on both os for copying data back and forth?it says to reformat for mac?",Reformat it to exFAT and both systems can read and write files to it.
Will this work with the ps4?,Yes I bought one exclusively for the PlayStation 4 it works very well.
Can i use it with my zmodo nvr,I use it with macbook pro. Don't know what you are talking about. Call WD
Does it work on PlayStation 4,"Same answer. I don\xb4t know, since I just use it with my ASUS notebook"
Would it worl for a xbox ones s?,"I'm not sure. I only used it for my ps4 but I do believe it would work on the xbox as well. There is an option to go to settings, storage and then click to format it to be able to use with the consoles."
Is this model auto backup?,You can use any backup application you choose.
I'm writing a memoir. Is 1 terabyte enough?,Honestly 1 terabyte is actually a lot cause my games are like 80 gb and I can have a ton of games downloaded. So yah thats enough for me
Is this item anti shake? I need an anti shake hard drive please!,Sorry. dont know what u are talking about
does it work with windows 7- 32 bytes?,No. This support article may help you: https://support.microsoft.com/en-us/help/2581408/windows-support-for-hard-disks-that-are-larger-than-2-tb
can it be formatted to playstation and pc at same time?,Not sure because I do not have a PlayStation . I use it with mt Tablo to record tv.
Will it work with Windows 7 ?,"It should work with any Windows platform 7, 8, 10, etc. Is simple to use and connect!"
Is it safe to say that if the little light on it doesnt turn on and it makes a noise then the noise goes away after a minute it doesnt work?,Its safe to say it but might not be true...
what i want to do is transfer my library from Win7 to this then connect to my new desktop with win 10... will this do that?,Should be able to without a problem since its just a storage device.
is it compatible with a Mac?,I bought it for my new Mac computer and it is working very well.
Is it compatible with mac ios,"You cant connect any hard drive directly to any ios device (iPad, iPhone, etc.). This drive can be formatted for use with nearly any computer os including Mac and Windows."
What is the difference between External hard drive and back up hard drive,There is no difference.
How do I use it with my dish dvr?,This model will not work. Guidelines are here: https://www.mydish.com/external-hard-drive
can this be used for mac?,Yes but you will need to reformat it with Apple Disk Utility from your Utilities folder. Takes less than 2 minutes. Your Mac may be able to read the drive but you will not be able to write data to it until it is reformatted.
Does this work with PS4?,Me hubiese gustado probarlo pero como no me lleg? no te puedo decir
"Me dice que llega el jueves 5 de diciembre, puedo poner la direcci?n de mi lugar de trabajo y cuando llegue me llamen al celular bajar a recibirlo??",Tienes q ver las opciones de entrega q te dan.
can i hook my iphone to it and transfer my pictures to this external drive?,"Hello friend, how are you?"
What kind of packaging does it come in?,"Excellent day Jeremy I understand that you have some doubts about the packing material that uses Amazon to send the WD 4TB Elements Portable External Hard Drive, I will be glad to provide you with the needed information."
is there any way to use this as a storage for a security camera system? as in having the cameras directly store footage into this hard drive?,"If your security camera system stores directly via USB, then this drive will work. If it stores via some other port or connector, then it probably won't work."
Will obs store on this device?,"Open source programs should have no issue running on this drive. The obs project website seems to suggest using an external drive for the program so it can focus solely on writing files. I run LATEX (another open source and C++ program) off of my drive with no issues. Depending on what write and read speeds you need, y see more"
Why is my 5 tb only 4.54 tb?,"Hello, truth be told ALL thumb drive/storage devices, ALL have a lower amount of storage than indicated, ie. a 16 GB thumb drive only actually provide you with about 14.6+/- of actual storage space. And again, this is typical of ALL/ANY storage devices. Hope this helps."
Is this drive bootable,"Yes, this drive can be used as a bootable device if configured in that way."
How do i use it with ps4?,"As soon as you plug it in, the PS4 will recognize the external device and ask you, \x93would you like to format this device for storage\x94. Select yes and after a short wait, its done."
can i use the wd 1tb wd elements portable external hdusb 3.0 - wdbuzg0010bbk-wesn as an external hd to expand my verizon fios motorola qip 7232 dvr?,"If you are familiar with the code, can copy and execute it, sure."
Is the speed of the hard drive 7400rpm ?,"It spins at just 5,400rpm,"
I've run out of space on my ms surface pro 3. could i put programs on this and also store info to it as well?,Not to sure but it is a possibility I have mine on my laptop
Can anyone chime in on the performance of the 2tb drive for ps4 thank you!,"My boyfriend uses it for his ps4 and hes got all of his games stored on it with space. The set up was really easy, and weve had it for a few months without any problems (no lagging or crashing or anything of that nature). Hes even recommended it to a few of his friends. Hope this helps!"
Thisis hard pmr or smr??,"Good question, not sure."
Can I use this to run windows with mac?,Its not clear exactly what you are asking. It can be reformatted for Mac.
Delivery 2 day?? please,Through Amazon Prime.
Does this work on ps4,"Yes, I am currently using one of these with my ps4."
When i downloaded my photos onto my imac laptop they are all out of order. can this be fixed without doing it manually?,"check your preferences for which protocol is being used to sort files; is it alpha, numerical, date, title"
Is this hard drive come with the cable?,"This drive, as long as purchased new, or from seller who offers used with cable, then yes it comes with a USB 3.0 cable. If buying used/refurbished and no specific notes are provided, you may want to check with the seller if they are including a cable. Otherwise a USB 3.0 is what you will need."
Is this item also compatible with windows 10?,I have window 10 and it works pretty well. Totally compatible!
Can you save svg files to it?,"Excellent day I understand that you have doubts about the use of the WD 4TB Elements Portable External Hard Drive you would like to know if it can store SVG files, I will be glad to provide you with the needed information."
Question i have this for my ps4 but now the little light wont turn on and the ps4 wont recognize it any help on how to fix the issue?,"Excellent day Juan I understand that you have some issues with your WD 4TB Elements Portable External Hard Drive, the device its been used on your PS4 but now the led light does not turn on and it's not being recognized by the PS4. I will be glad to provide you the needed support."
will this work with an xbox one?,Yes it will work with the XBox one - I have a 1TB version currently (about 60%) full and it works quite well.
Does this work with a ps4?,yes this hard drive work.
Do you sell replacement cables for this hard drive?,https://www.amazon.com/AmazonBasics-USB-3-0-Cable-Male/dp/B00NH13G5A/ref=sr_1_1?s=electronics&ie=UTF8&qid=1545978877&sr=1-1&keywords=usb+3.0+cable+micro+b
Is this Compatible with Mac ?,I don't use Mac but I'm sure it is compatible
Will it speed up a macmini 500 gb late 2014 if used as startup disk?,I gifted this to someone else. Can't answer your question. Good luck.
Does it work with the ps4 orginal model?,I have no idea. I am using it with my HP Stream..and I love it
Does this have old style drive that starts up?,"I am not sure what the question really is. If you are asking if this drive supersedes the root drive of the computer, the answer is no. The drive is active as long as it is connected through the USB cable and is always secondary to the root drive. It can be configured to be the primary storage for downloaded files a see more"
I am currently using an hp laptop running windows 10 & i also have an older laptop that has the old vista operating system. can this hard drive work?,This drive works well with windows 10. Windows 10 simply shows the WD 2tb as an additional drive. I do not have any issues. The only thing I found is I cannot eject the drive to unplug it from the USB port while the computer is running. I get the message that it is in use with another application and cannot be disc see more
Es posible que en vez de cable usb-b se incluya un cable de conecci?n con usb-c ?,"Si, es posible"
Is it compatible with older 2- tuner tablo dvr,"Hello friend, How are you?"
"I ordered this but my mac does not have a usb port, what do i do?","If your machine does not have a USB port, whatever type port you have access to, lightening cable to USB adapter will work."
Is this compatible with usb c?,"Yes, though you will need to buy a separate USB-C (male) to USB-A (female) adapter if you use the cable that comes with the drive. I went ahead and bought a USB-C to USB micro B cable and use it without any issue. Example is something like this: https://www.amazon.com/AmazonBasics-USB-3-0-Cable-Male/dp/B00NH13G5A"
Can i use this with my dish dvr?,I try with blue.ray DVD player. That. Have a USB entry and is. Good but. I dont know about dish dvr
How do i use this with my ps4 specifically? it is a white ps4 if that matters. and i dont see where to plug the hdmi cable in the back.,Its not an hdmi. Its a USB that comes with it. You plug it where one of the controller plug in
"Does it come with cloning software, and if so, what happens when the cloning license expires?",Nop
Can i backup everything from my desktop main hdd to this external hdd so i can swap to the os to my ssd?,You can for about a week until this drive fails and you lose all your data. That is what happened to me.
Will it backup my MacBook computer?,"Hello friend, How are you?"
What are the read and write speeds?,My 2TB version is writing at about 55 mb/s right now. Between 50-60 mb/s usually.
Can i use this drive for a ps4 and xbox1 at the same time or do i need two separate units?,Separate.
Does a USB cord come with it?,Yes mine came with a USB cord
Is the file transfer drag and drop? The similar size Seagate makes this claim but not sure if this feature is pretty universal.,"Excellent day. I understand that you have some doubts about the correct use of the WD 2TB Elements Portable External Hard Drive - USB 3.0 - WDBU6Y0020BBK, you would like to know if the transfer information system its similar to one claimed by another brand, just to drag and drop. I will be glad to provide you with the"
Does it work with xbox,"Excellent day William I understand that you have some doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with the XBOX ONE, I will be glad to provide you with the needed information."
Does this back-up drive (wdbu6y0040bbk-wesn) use magnetic or flash memory; magnetic ntfs drives may wear out much faster than flash drives?,if it was a flash drive it would be quite a bit more expensive. and i am not sure flash storage is possible for 4tb. if you can find a flash 4tp the cost would be expensive.
Does this work with dish,I bought it as a back up for my computer. I have no idea if it could be used with Dish (Network?) or not.
Can this be used used to back up pictures from an android phone?,Yes.
If I format for an old Mac will it work with the newest software once I purchase a new computer?,yes
about how many photos will this hold?,Depende del tama?o de las fotos.
Can this be used with a Samsung Galaxy phone or tablet?,"Typically you can't connect a hard drive to phone or tablet, device needs a USB port. So, probably not"
is this a back up portable hdd hard drive?,no its a storage device only
Can I use this to back up my laptop,the one I purchased doe not work...have no idea why
Whats the difference between a portable and desktop version?,"Desktop version needs extra power, and bigger in size, that's all."
Is this able to be used with PS4?,Yes
Is this compatible with xbox one,Yes it is compatible with Xbox One and works great!
Does it work with ps3?,Yes
Does it work with a PS4?,Yes it is compatible with PS4 and PlayStation 4 Pro consoles with firmware 4.50 or later.
Can I transfer files from one portable drive to portable drive ?,"Youd have to have both portables connected to a laptop, then transfer your files."
Could i load 4k movies on to it from my mac running mojave? formatting it to fat32 doesnt work because they cant be read by my tvs,"Yes it will work with Mac,doesnt require to be formatted in fat32 format."
Can this be stored in a fireproof safe and data stored even if battery goes dead?,If you turn the drive off properly it will lift the head off the disks and will stay in the state until you plug it in and restart it. So it should be no problem to store it in a safety deposit box.
"Hello, i can not see this drive on my windows 7 laptop! does anyone know how to fix? software? thank you",No idea
Can this be used on ailenware laptop?,I am not for sure. It should as long there is a USB port.
"Is warranty is available for India, if it applicable what are terms ans conditions.","Good luck enforcing this contractual warranty with another country...state courts have no jurisdiction over India, and Fed. courts (in context to contract law) can only enforce US contracts...unless, this India Warranty specifically specifies jurisdiction within the US (courts), then abandon all hope."
"When I attach this to my computer, the entire computer freezes. I just bought this yesterday. Please advise?",Buy a new computer. These drives work for all 3 of mine
Can I use this with Airtv?,"I dont have idea, sorry"
Will this work with a hopper or joey by dish?,"I use it one on a Tablo OTA DVR and one with an AirTV OTA DVR. I'm not familiar with either the Hopper or the Joey so I can't provide an experienced or qualified answer. But if t=either of these DVR's have a USB port that is intended to support and off-board HDD, it's a pretty sure bet that it will work (though you m see more"
Will this work with a older OS win 7 ??,Working with no problem
Is there a way to backup two different computers on the same backup unit?,Yes
Does it work with a ps4,Yeah you're most likely could you have to format it to be able to download the information
Do u get the jack cord with this item?,Jack cord?
Does this come with the annoying software that many drives come with now?,No. It is a stand-alone drive and does not have any preloaded software on it.
Can you open it up and use it as a internal hard drive?,"I have a laptop. This external HD cannot be used as an internal hard drive in my laptop. If you have a desktop, you need to check with tech support at WD for further assistance."
what is the rpm on this?,DO NOT BUY THIS!!!! I lost EVERYTHING two weeks after I got it. It's currently at its third data recovery center and I was told it's because these manufacturers want to save less than $1 on a particular part. The lowest quote I've gotten so far is $1500. DO. NOT. BUY.
is this ssd?,"No, it is a hard disk drive not solid state."
What is the cable port on the drive itself?,"Micro-B . I read all the bad reviews on the cable that comes with the hard drive so i Just bought AmazonBasics USB 3.0 Charger Cable - A-Male to Micro-B and through the cable it came with in the trash, and the HD has been working fine."
The usb cord it came with is extremely short. can anyone recommend a 6-10 ft. usb cord that will work with this?,"There's probably plenty of female to male USB3.0 extension cables available, just don't buy the cheapest ones since they might be fudging their USB3.0 compatibility"
Can I switch the hard drive back and forth between a Windows and mac computer?,I formated my drive using NTFS for windows 10
Can I hook this external drive to my car and play the music I copied on it?,It depends on your car multimedia.
Do these come with the wd smartware virtual cd (vcd) partitions that are locked and unable to be removed,No
Can i use it to transfer files between macbook pro and windows 8?,"I dont know how the drive comes formatted from the factory because I immediately plugged mine into my Xbox and reformatted it, but if you know how to format a drive you can format it as exFAT or FAT32 and it will work with both Mac and windows."
Do you have to create a wd account to use it? are your files stored directly on this hard drive or wd server?,"No, you don't have to create a WD account. Your files are stored in the HDD, not in the server."
can this survive car elements?,"I would not leave it in the car on a very hot day. It's a hard drive, not military specs"
I plugged it in. it is not working. Drive does not initiate windows explorer. It appears in device manager Is there some other way to get it working?,"When I plugged mine up using the supplied USB cable, it did not automatically initiate the File Explorer window (in Windows 10). However when I started the file explorer manually (right click on the start symbol, then choose File Explorer), the WD Elements appeared near the bottom of the left navigation panel. If yo see more"
My ps4 pro hard drive crashed. If i get this one and plug it in will it act as a replacement for the internal one?,Thank you for your interest in the products we sell.
Do you have to pay to receive set up instructions??,"No, the instructions comes with the product"
Can I use this with Mac and pc?,"Yes, just make sure that you format the drive for the ExFAT file system."
"The 2tb drive shows white printed text, but my brother's 2tb recently purchased has embossed gloss black lettering? which will i get?","It looks like new versions of the drive don't have the white lettering. And technically they do appear to have different part numbers with the one that has white lettering being WDBU6Y0020BBK-WESN and the one that is embossed is WDBU6Y0020BBK-NESN, but I've seen both sold as WDBU6Y0020BBK-WESN. If you are super concern see more"
Will this work for mac os snow lepoard?,"Yes, it will work with whatever operating system you're using. When you first plug it in, it will prompt you through setup to fit your system. As long as you don't try to hook it up to a system with a more up to date system, it should work just fine."
Is this a solid state drive?,No. This is standard hard drive...
Is this a solid state drive?,Nope
Why does this show up in a search for an external ssd?,Its built in the unit!
Will it work with XP?,No it doesnt work with XP
Does it work on PS4?,Yes
If i format the device on my ps4 will it erase all the material i already have in the drive?,"I would think so, usually when you format/reformat external drives it will give you a warning that it will erase the contents of the drive."
Compatible with Chrome?,Chrome the browser or a chrome notebook?
will this work on an Xbox one S?,"Yes, very well"
Can this work or be modded to work on the Wii U?,"Nice Product, Fast Dilivery, Safe BOX Thx"
what is the difference between passport and element drives?,Passport is typically smaller.
Will this work with lg smart tv and what file format do videos need to be in?,yes....depends on your TV
Will this auto backup for Window 10? One review said it would not and this is why I want to purchase.,"I am not sure but I would NOT buy this product anyway. The one I received did not work, even after I purchased another cable. The reviews are bad and I should have listened to them. Read them before buying. I had to return."
This doesn't work with my arlo home base / doesn't recognize it. i made sure it was formatted to fat32 but still doesn't work. how do i fix it?,This product work on all my devices that I have
I noticed this has a usb cable that has a different kind of end on it. what is this kind of usb cable called in case i need to order another cable?,"The drive has a USB 3 Micro B. Get any cable with that on one end, and whatever you need on the other. USB 3 A is the one most people think of, but type C is becoming more common as well, but the end to worry about is the Micro B."
How can I delete pictures that Ive backed up to this external drive?,Mine stopped working after about 5 months. This external hard drive is a rip-off. And they wont give me a refund.
Can music be played from stored files on the drive?,Yes. Music files can be played from Elements drive.
"Ok i need more storage for my pc and my laptop, would i be able to unplug it from the xbox and use it on the pc, like have games from both.",More than likely not. Can only be formatted for one system of use
What is the transfer rate?,I don't know the rate but its suitable for backup if you are using USB 3.0. For the price not too bad..Not ultra fast but good for backup.
Can it back up my macbook pro and my iphone? mimimum of 90 gigabites?,"If you back your phone up to the macbook first, through iTunes. Yes."
"Is this device, I heard it works with windows 10 and its plug and play, but is it plug and play simple and easy with Windows 7? Or do you need do some",I plugged it into an old Sony VAIO laptop running Windows 7 and it was recognized by the operating system and worked just fine. Noticeably slower than on my newer machines but it worked
"Will this store media files and movies from Android boxes? Games, movies. Nvidia Shield in particular?","no idea what android boxes are but games , movies, pictures, music, etc can be stored and used straight from this drive."
PS4: is it difficult to use this with PS4?,Not at all. I use it for my PS4. You just plug it in and set it as the main download area and that's all! You just have to have it plugged in to play the games downloaded to it
Does it work well with windows backup and restore under win 10 1909? i will use it with a usb3 hub on a laptop.,"Excellent day I understand that you have doubts about the compatibility of restore of the WD 4TB Elements Portable External Hard Drive if the back up was performed on a Windows computer and you wish to restore the information on a Windows 10 1909, I will be glad to provide you the needed information."
ps4 compatable?,I do not know but I looked in Customer questions & answers
Can it hold and transfer high definition photos and videos?,"Yes, it can hold and transfer HD photos and videos. Just bear in mind that 1TB is not enough to hold too many videos. Look at the 4TB instead."
Does it work for ps4,"Excellent day John I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with the PS4, I will be glad to provide you with the needed information. The requirements for a Storage device in order to work correctly with the PS4 are the following."
Ps4? Ive seen a lot of different answers about its compatibility with ps4. Anyone using this for it?,"I am using it, no problems at all, you can buy it safely now I have 3 tb on my ps4"
I have a hp pavillion with hdmi ports. no usb. can i use this external hard drive using an adapter cable?,"Hello friend, How are you?"
Does it work with iPhone?,"It may but would require several adaptors to eventually connect to a lighting port. You're better off with a proven product, like a 128GB iPhone USB Flash Drive."
Does this support Windows 10?,"Yes it does, that is exactly the application that I am using this drive with on a windows 10 system"
The computer has 2.0 usb ports. will an external hard drive with usb 3.0 work properly?,My external hard drives work on both 2.0 and 3.0 ports but the speed of transfer with the 2.0 is slower.
Can I use it with Xbox one,Yes. Literature searches say WD 2TB Portable CAN be used
How can you tell if it is working? i plugged it in for three hours. i checked the folders. shows all folders empty. formatting didn't help.,Mine never worked either!
Nothing says what the size is in the box except for this little sticker on the front that boldly says '2tb' . what's in the box? i ordered a 4tb,"If you ordered 4TB thats what you should get, thats what I have."
Does this work for hp cloudbook?,I don't really know but if the cloudbook has a USB port it should work.
does this work on the microsoft surface laptop,"Sorry, don't know. We bought it for a desk top computer."
I recently had to reformat this thing and when i looked at its capacity it says 32 gigabites. i bought it to hold 2 tb. what's up with that?,"If the drive has been partitioned, it's possible."
Does it come with a cable?,It comes with a cable to connect the drive to the computer via USB.
does this come with a cord?,Comes with a usb cord yes
I am brand new to chromebook. i have a 4gb usb port. will this work to transfer files to hard drive?,Any computer that supports USB and has the utilities that will format the hard drive to that system OS should work.
"Is there a difference in quality between the Classic, aluminum or contemporary style? If so, what is the difference and does the cost justify it?",I am not the manufacturer how would I know I have same info as you I bought it and it works great it's a hard drive da
I heard a rumor that this makes your system slower. Im looking for my ps4. Is it true?,"Can't help with this. We do not use it for gaming, it's mostly for extensive digital photo storage."
How do you eject the drive? The option does not show up in my Control Panel.,"it's not designed to be ejected, but I'm sure you could get into the case and remove the drive if you wanted"
"Can I buy this to store docs, pics, vids and just keep it around as storage backup. Or does this have to stay plugged in to the laptop?","Yes,You buy this to store docs, pics, vids and just keep it around as storage backup."
I just got it what is the viberation like its fan or something spinning inside? Sorry i am new to this.,Dont worry about it. It is the disc that is spinning.
Viene con el cable de conexi?n a conputadora??,Si viene con su cable
Does this external hard drive use flash memory?,I dont know. Good question.
"Will and if yes, how will this work with an ipad and macbook. i dont have a desktop?",You can use it by uploading the files to it via a micro male to micro male cable or or a micro male usb cable.
Will this work with a Xbox One? Thanks!,"I'm not sure, it didn't work on my ps4."
Can i simultaneously put ps4 and ps3 games/save files on this? (don't respond if you don't have an answer/don't know please),The capacity is enough to use and it is so slim and has a good design.
Have two Click Free's (brand) but saw company went out of business; assume this would be the same? Want to backup my Windows 7 laptop,"Hey...why not try it? If it doesn't fit the bill, amazon will always refund your money. Another alternative for you might be iDrive...idrive.com. Just a suggestion. Put in the offer code ""RUSH"" to save 90% the first year. Again, only a suggestion."
Can i save files from a mac and then download to windows from this storage?,"If the hard drive is formatted as a Mac drive, a Windows computer might not recognize it. If the drive is setup as a windows drive both Mac and Windows will read it. Of course the Windows computer would need the appropriate programs to use the files designed on a Mac. This has nothing to do with the drive itself."
